,0
0,-296
1,-296
2,-296
3,-109
4,78
5,78
6,79
7,78
8,78
9,78
10,78
11,-11
12,-101
13,-101
14,-101
15,163
16,164
17,163
18,-97
19,-96
20,-96
21,93
22,94
23,94
24,9
25,-77
26,-77
27,14
28,14
29,14
30,14
31,14
32,14
33,14
34,14
35,14
36,14
37,14
38,14
39,-5
40,-22
41,-22
42,-22
43,-22
44,-23
45,-22
46,-9
47,4
48,5
49,4
50,4
51,4
52,5
53,4
54,4
55,4
56,5
57,4
58,4
59,4
60,5
61,4
62,4
63,4
64,5
65,4
66,-3
67,-11
68,-10
69,-11
70,-10
71,-11
72,-10
73,-11
74,-10
75,109
76,110
77,109
78,108
79,-20
80,-150
81,-151
82,-23
83,103
84,103
85,103
86,-86
87,-85
88,-86
89,47
90,48
91,47
92,6
93,-37
94,-37
95,-37
96,-37
97,-37
98,23
99,82
100,-4
101,-91
102,-91
103,-91
104,-90
105,-91
106,-91
107,-91
108,-90
109,98
110,99
111,98
112,99
113,98
114,-70
115,-70
116,-70
117,-70
118,-70
119,15
120,98
121,99
122,-10
123,-118
124,-118
125,-19
126,80
127,81
128,80
129,80
130,-117
131,-117
132,-117
133,-117
134,-117
135,-110
136,-102
137,-102
138,-102
139,-102
140,-102
141,26
142,152
143,153
144,153
145,152
146,-71
147,-71
148,-71
149,-71
150,35
151,142
152,142
153,11
154,-118
155,-118
156,21
157,161
158,160
159,161
160,160
161,161
162,-123
163,-122
164,-123
165,-122
166,-123
167,161
168,161
169,160
170,161
171,160
172,141
173,120
174,119
175,120
176,120
177,120
178,105
179,89
180,90
181,89
182,89
183,89
184,89
185,-24
186,-138
187,-139
188,-138
