,0
0,-166
1,-167
2,-167
3,-118
4,126
5,126
6,126
7,126
8,173
9,175
10,174
11,174
12,175
13,174
14,82
15,-129
16,77
17,401
18,57
19,-333
20,-215
21,174
22,86
23,-104
24,-105
25,116
26,186
27,186
28,186
29,158
30,140
31,140
32,140
33,140
34,140
35,140
36,-72
37,-227
38,-217
39,196
40,196
41,86
42,-41
43,-40
44,-40
45,-89
46,-91
47,-91
48,-53
49,233
50,233
51,-162
52,-216
53,182
54,196
55,-12
56,-311
57,-311
58,-209
59,166
60,165
61,166
62,165
63,165
64,-150
65,-237
66,86
67,136
68,136
69,136
70,-69
71,-152
72,-152
73,-152
74,-152
75,-61
76,171
77,171
78,171
79,126
80,-181
81,39
82,233
83,105
84,-202
85,-202
86,235
87,-75
88,-141
89,156
90,155
91,-206
92,-254
93,58
94,58
95,58
96,58
97,58
98,58
99,58
100,59
101,58
102,58
103,-3
104,-18
105,-17
106,-18
107,-177
108,-246
109,174
110,175
111,15
112,-144
113,-144
114,-144
115,-57
116,105
117,106
118,106
119,105
120,106
121,-34
122,-129
123,-129
124,43
125,109
126,-221
127,-302
128,-302
129,-303
130,155
131,-26
132,-360
133,-361
134,6
135,378
136,378
137,174
138,-299
139,-300
140,-70
141,9
142,-15
143,-123
144,-122
145,-123
146,482
147,486
148,485
149,129
150,-259
151,-259
152,-185
153,1
154,1
155,1
156,26
157,196
158,-64
159,-109
160,-110
161,-109
162,-109
163,-109
164,-109
165,-106
166,-103
167,-103
168,-103
169,-103
170,121
171,212
172,153
173,-170
174,-169
175,206
176,456
177,309
178,53
179,53
180,53
181,53
182,-57
183,-139
184,-139
185,-139
186,52
187,317
188,234
189,-136
190,-135
191,-136
